"Method","Path","OperationId","Summary","Parameters"
"GET","/setting/collector/collectors/{collectorId}/logs","getCollectorLogFiles","get collector log files","collectorId:path:required, format:query:optional"
"GET","/website/websites/{id}/alerts","getWebsiteAlertListByWebsiteId","get alerts for a website","id:path:required, needMessage:query:optional, customColumns:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/devices/{deviceId}/devicedatasources/{id}/data","getDeviceDatasourceDataById","Get device datasource data","deviceId:path:required, id:path:required, period:query:optional, start:query:optional, end:query:optional, datapoints:query:optional, format:query:optional, aggregate:query:optional"
"GET","/device/devices/{deviceId}/properties/{name}","getDevicePropertyByName","Get device property by name","deviceId:path:required, name:path:required, fields:query:optional"
"GET","/setting/admins/{id}","getAdminById","get user","id:path:required, fields:query:optional"
"GET","/setting/configsources/{id}/updatereasons","getUpdateReasonListByConfigSourceId","Get update history for a configSource","id:path:required"
"GET","/setting/batchjobs","getJobMonitorList","Get JobMonitor List","format:query:optional"
"GET","/log/logquerygroups/{id}","getLogQueryGroupById","Get log query group by ID","id:path:required"
"GET","/setting/admins/apitokens","getApiTokenList","Get a list of API tokens across users","type:query:optional, permission:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/diagnosticRemediation/list","getDiagnosticRemediationAssignedSources","List assigned diagnostic and remediation exchange modules","resourceId:query:optional, alertId:query:optional, moduleType:query:optional"
"GET","/logpipelines/processors","getLogAlerts","Retrieve all LogAlerts",""
"GET","/device/devicedatasourceinstances/{instanceId}/graphs/{graphId}/data","getDeviceInstanceGraphDataOnlyByInstanceId","get device instance data","instanceId:path:required, graphId:path:required, start:query:optional, end:query:optional, format:query:optional"
"GET","/setting/accessgroup","getAccessGroupList","Get access group list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/accesslogs","getAuditLogList","Get audit logs","format:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/devices/{deviceId}/devicedatasources/{hdsId}/instances/{instanceId}/alertsettings/{id}","getDeviceDatasourceInstanceAlertSettingById","get device instance alert setting","deviceId:path:required, hdsId:path:required, instanceId:path:required, id:path:required, fields:query:optional"
"GET","/setting/collector/collectors/{id}","getCollectorById","get collector","id:path:required, fields:query:optional"
"GET","/device/groups/{gid}/properties/{name}","getDeviceGroupPropertyByName","Get device group property by name","gid:path:required, name:path:required, fields:query:optional"
"GET","/debug/{id}","getDebugCommandResult","Get the result of a Collector debug command using sessionId","id:path:required, collectorId:query:optional"
"GET","/setting/oids","getOIDList","Get OID's list",""
"GET","/dashboard/groups","getDashboardGroupList","get dashboard group list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/netscans/{id}","getNetscanById","Get netscan by ID","id:path:required"
"GET","/cost-optimization/recommendations/{id}","getRecommendationById","Get recommendation by ID","id:path:required, fields:query:optional"
"GET","/setting/admins","getAdminList","get user list","type:query:optional, permission:query:optional, filterGroupString:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/dashboard/dashboards/{id}/widgets","getWidgetListByDashboardId","get widget list by DashboardId","id:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/devices/{id}/ports","getNetflowPortList","get netflow ports","end:query:optional, netflowFilter:query:optional, start:query:optional, id:path:required, ip:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/log/partitions/retentions","getRetentionList","Retrieve the list of log retentions",""
"GET","/setting/configsources","getConfigSourceList","Get config source list","format:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/devices/{deviceId}/devicedatasources/{hdsId}/instances/{id}/data","getDeviceDatasourceInstanceData","get device instance data","deviceId:path:required, hdsId:path:required, id:path:required, period:query:optional, start:query:optional, end:query:optional, datapoints:query:optional, format:query:optional"
"GET","/device/groups/{deviceGroupId}/clusterAlertConf/{id}","getDeviceGroupClusterAlertConfById","Get cluster alert configuration by id","deviceGroupId:path:required, id:path:required"
"GET","/device/groups/{id}/alerts","getAlertListByDeviceGroupId","get device group alerts","id:path:required, needMessage:query:optional, customColumns:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/remediationsources/{id}","getRemediationSourcesById","Get remediation sources by ID","id:path:required, format:query:optional"
"GET","/report/groups/{id}","getReportGroupById","Get report group by id","id:path:required"
"GET","/setting/alert/rules","getAlertRuleList","get alert rule list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/action/chains/{id}","getActionChainById","Get action chain by ID","id:path:required"
"GET","/device/devices/{deviceId}/devicedatasources/{id}","getDeviceDatasourceById","Get device datasource","deviceId:path:required, id:path:required, fields:query:optional"
"GET","/website/groups/{id}/sdts","getAllSDTListByWebsiteGroupId","get a list of SDTs for a website group (Response may contain extra fields depending upon the type of SDT)","id:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/eventsources/{id}","getEventSourceById","Get event source by ID","id:path:required, format:query:optional"
"GET","/metrics/summary","getMetricsSummary","get metrics usage with company settings summary",""
"GET","/setting/opsnotes/{id}","getOpsNoteById","get opsnote by id","id:path:required, fields:query:optional"
"GET","/website/groups/{id}/historysdts","getSDTHistoryByWebsiteGroupId","get SDT history for the website group (Response may contain extra fields depending upon the type of SDT)","id:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/collector/collectors/{collectorId}/logs/{fileName}","getCollectorLogFileByName","get collector log file","collectorId:path:required, fileName:path:required, format:query:optional"
"GET","/setting/topologysources","getTopologySourceList","Get TopologySource List",""
"GET","/setting/datasources/{id}/updatereasons","getUpdateReasonListByDataSourceId","Get update history for a datasource","id:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/devices/{deviceId}/devicedatasources/{hdsId}/instances/{id}","getDeviceDatasourceInstanceById","get device instance","deviceId:path:required, hdsId:path:required, id:path:required, fields:query:optional"
